sno,PrimeMinister,Constituency,Term Started on,Term Ended on,Term(Days),LS,Party
1,"Jawaharlal Nehru
(1889–1964)",Constituent Assembly member for United Provinces,15 August 1947,15 April 1952,1705,Constituent Assembly[f],INC
2,"Jawaharlal Nehru
(1889–1964)",Phulpur,15 April 1952,17 April 1957,1828,1st,INC
3,"Jawaharlal Nehru
(1889–1964)",Phulpur,17 April 1957,2 April 1962,1811,2nd,INC
4,"Jawaharlal Nehru
(1889–1964)",Phulpur,2 April 1962,27 May 1964,786,3rd,INC
5,"Gulzarilal Nanda
(1898–1998)",Sabarkantha,27 May 1964,9 June 1964,13,3rd,INC
6,"Lal Bahadur Shastri
(1904–1966)",Allahabad,9 June 1964,11 January 1966,581,3rd,INC
7,"Gulzarilal Nanda
(1898–1998)",Sabarkantha,11 January 1966,24 January 1966,13,3rd,INC
8,"Indira Gandhi
(1917–1984)",Rajya Sabha MP for Uttar Pradesh,24 January 1966,4 March 1967,404,3rd,INC
9,"Indira Gandhi
(1917–1984)",Rae Bareli,4 March 1967,15 March 1971,1472,4th,INC
10,"Indira Gandhi
(1917–1984)",Rae Bareli,15 March 1971,24 March 1977,2201,5th,INC
11,"Morarji Desai
(1896–1995)",Surat,24 March 1977,28 July 1979,856,6th,JP
12,"Charan Singh
(1902–1987)",Baghpat,28 July 1979,14 January 1980,170,6th,JP(S)
13,"Indira Gandhi
(1917–1984)",Medak,14 January 1980,31 October 1984,1752,7th,INC
14,"Rajiv Gandhi
(1944–1991)",Amethi,31 October 1984,31 December 1984,61,7th,INC
15,"Rajiv Gandhi
(1944–1991)",Amethi,31 December 1984,2 December 1989,1797,8th,INC
16,"Vishwanath Pratap Singh
(1931–2008)",Fatehpur,2 December 1989,10 November 1990,343,9th,JD
17,"Chandra Shekhar
(1927–2007)",Ballia,10 November 1990,21 June 1991,223,9th,SJP
18,"P. V. Narasimha Rao
(1921–2004)",Nandyal,21 June 1991,16 May 1996,1791,10th,INC
19,"Atal Bihari Vajpayee
(1924–2018)",Lucknow,16 May 1996,1 June 1996,16,11th,BJP
20,"H. D. Deve Gowda
(born 1933)",Rajya Sabha MP for Karnataka,1 June 1996,21 April 1997,324,11th,JD
21,"Inder Kumar Gujral
(1919–2012)",Rajya Sabha MP for Bihar,21 April 1997,19 March 1998,332,11th,JD
22,"Atal Bihari Vajpayee
(1924–2018)",Lucknow,19 March 1998,13 October 1999,573,12th,BJP
23,"Atal Bihari Vajpayee
(1924–2018)",Lucknow,13 October 1999,22 May 2004,1683,13th,BJP
24,"Manmohan Singh
(born 1932)",Rajya Sabha MP for Assam,22 May 2004,22 May 2009,1826,14th,INC
25,"Manmohan Singh
(born 1932)",Rajya Sabha MP for Assam,22 May 2009,26 May 2014,1830,15th,INC
26,"Narendra Modi
(born 1950)",Varanasi,26 May 2014,30 May 2019,1830,16th,BJP
27,"Narendra Modi
(born 1950)",Varanasi,30 May 2019,3/4/2023,1374,17th,BJP
